source	target	p	cov	Disease_outcome	effect	group	group_type	source_type	tense	class
Salmonella phage 37	Salmonella enterica	0	-0.019674003	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.019674003	-1
Salmonella phage 40	Salmonella enterica	0	0.010765621	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.010765621	1
Salmonella phage SKML-39	Salmonella enterica	0	-0.01637544	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.01637544	-1
Sinorhizobium phage phiN3	Sinorhizobium meliloti	0	-0.01105379	Diseased	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.01105379	-1
Stenotrophomonas phage IME-SM1	Stenotrophomonas maltophilia	0.001	0.001284398	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.001284398	1
Streptomyces phage Izzy	Streptomyces griseus	0	-0.010170698	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.010170698	-1
Streptomyces phage Jay2Jay	Streptomyces lividans	0	-0.006088275	Diseased	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.006088275	-1
Streptomyces phage phiSAJS1	Streptomyces avermitilis	0	0.006544085	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.006544085	1
Sulfitobacter phage pCB2047-C	Sulfitobacter sp. CB2047	0	-0.039595582	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.039595582	-1
Synechococcus phage ACG-2014b	Synechococcus sp. WH 7803	0.026	-0.022436155	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.022436155	-1
Synechococcus phage ACG-2014c	Synechococcus sp. WH 7803	0.01	0.022682356	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.022682356	1
Synechococcus phage ACG-2014f	Synechococcus sp. WH 7803	0.038	-0.004886933	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004886933	-1
Synechococcus phage ACG-2014i	Synechococcus sp. WH 7803	0	-0.018048819	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.018048819	-1
Synechococcus phage ACG-2014j	Synechococcus sp. WH 7803	0.022	-0.011270653	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.011270653	-1
Synechococcus phage S-CAM8	Synechococcus sp. WH 7803	0	-0.003445332	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.003445332	-1
Synechococcus phage S-CBP42	Synechococcus sp. WH 7803	0.002	-0.00664524	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.00664524	-1
Synechococcus phage S-PM2	Synechococcus sp. WH 7803	0	0.015373352	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.015373352	1
Synechococcus phage S-RIM2	Synechococcus sp. WH 7803	0	-0.008086502	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.008086502	-1
Synechococcus phage S-ShM2	Synechococcus sp. WH 8102	0	-0.004052184	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004052184	-1
Synechococcus phage S-SKS1	Synechococcus sp. WH 7803	0	0.004227372	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004227372	1
Synechococcus phage S-SSM7	Synechococcus sp. WH 8109	0	-0.024376997	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.024376997	-1
Synechococcus phage Syn19	Synechococcus sp. WH 8109	0	-0.014058551	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.014058551	-1
Vibrio phage CP-T1	Vibrio cholerae	0	-0.02495284	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.02495284	-1
Vibrio phage ICP2	Vibrio cholerae	0	-0.001039653	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.001039653	-1
Vibrio phage phi-A318	Vibrio alginolyticus	0	-0.022518412	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.022518412	-1
Vibrio phage qdvp001	Vibrio parahaemolyticus	0	-0.015223078	Diseased	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.015223078	-1
